NORM_recoveries,NORM_last_pymnt_amnt,NORM_int_rate,NORM_loan_amnt,NORM_dti,NORM_mo_sin_old_il_acct ,NORM_total_rec_late_fee,NORM_num_actv_rev_tl,NORM_revol_util,NORM_installment,NORM_earliest_credit_line,NORM_total_pymnt,NORM_total_rec_late_fee,NORM_pct_tl_nvr_dlq,NORM_total_pumnt_inv,NORM_open_acc,NORM_mths_since_recent_inq,NORM_total_acc,NORM_mort_acc,NORM_funded_amnt_inv,mths_since_recent_revol_delinq,NORM_delinq_2yrs,NORM_annual_inc,NORM_mo_sin_old_rev_tl_op,NORM_last_pymnt_d,issue_d,NORM_bc_util,NORM_num_rev_accts,term,mths_since_last_delinq,mths_since_last_record,mths_since_recent_bc_dlq,NORM_pct_tl_nvr_dlq,NORM_acc_open_past_24mths,NORM_total_rec_int
0,0,0.06,1000,0,0,0,0,0,4.93,1950,0,0,0,0,0,0,2,0,950,0,0,4800,0,40940,40909,0,0,0,0,1,0,0,0,0
39444.37,35760.2,0.2606,35000,34.99,649,494.3000001,37,1.404,1408.13,4251.499892,62884.79738,494.3000001,100,62862.51,62,24,105,31,35000,165,29,7141778,760,43497,41609,339.6,94,0,156,121,152,100,40,1000
